,1,3,5,7,9
2021-06-10T05:49:49+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:49:52+00:00,-0.24,19.94,50.00,21.50,21.01
2021-06-10T05:49:55+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:49:59+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:50:01+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:50:04+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:07+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:10+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:13+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:16+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:50:19+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:22+00:00,-0.24,19.87,50.00,21.60,21.12
2021-06-10T05:50:25+00:00,-0.24,19.94,50.00,21.60,21.12
2021-06-10T05:50:28+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:31+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:34+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:37+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:40+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:43+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:46+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:49+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:52+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:55+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:50:58+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:01+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:04+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:07+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:10+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:13+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:16+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:19+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:22+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:25+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:29+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:31+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:34+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:37+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:40+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:43+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:46+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:49+00:00,-0.24,19.87,50.00,21.50,21.01
2021-06-10T05:51:52+00:00,-0.24,19.87,50.00,21.50,21.01
