timestamp_utc,soil_humidity,soil_temperature,system_air_humidity,system_air_temperature
2021-06-15T18:00:59+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:01:02+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:01:05+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:01:08+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:11+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:01:14+00:00,103.79,15.94,92.0,16.7
2021-06-15T18:01:17+00:00,103.55,15.88,92.0,16.7
2021-06-15T18:01:20+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:23+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:26+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:29+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:32+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:35+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:38+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:41+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:44+00:00,103.32,15.94,92.0,16.7
2021-06-15T18:01:47+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:50+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:53+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:56+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:01:59+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:02+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:05+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:08+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:11+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:14+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:17+00:00,103.79,15.94,92.0,16.7
2021-06-15T18:02:20+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:23+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:26+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:29+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:33+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:35+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:38+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:41+00:00,103.79,15.94,92.0,16.7
2021-06-15T18:02:44+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:47+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:50+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:53+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:56+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:02:59+00:00,103.79,15.94,92.0,16.7
2021-06-15T18:03:02+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:05+00:00,103.79,15.94,92.0,16.7
2021-06-15T18:03:08+00:00,103.79,15.94,92.0,16.7
2021-06-15T18:03:11+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:14+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:17+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:20+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:23+00:00,103.79,15.94,92.0,16.7
2021-06-15T18:03:26+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:29+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:32+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:35+00:00,103.55,15.94,92.0,16.7
2021-06-15T18:03:38+00:00,103.55,15.94,92.0,16.7
